Product;Sales;Date;City
Bananas;121  ;13.06.2019;Atlanta
Bananas;236  ;20.10.2019;Atlanta
Apples;981  ;12.03.2019;Atlanta
Bread;996  ;28.07.2019;New York City
Brocolli;790  ;22.10.2019;New York City
Apples;762  ;03.11.2019;Toronto
Bananas;870  ;18.11.2019;New York City
Bananas;852  ;21.03.2019;Atlanta
Apples;427  ;11.05.2019;Toronto
Bread;576  ;14.09.2019;Atlanta
Bananas;472  ;06.04.2019;New York City
Oranges;864  ;02.06.2019;Atlanta
Strawberries;923  ;30.03.2019;Toronto
Brocolli;925  ;09.06.2019;Portland
Bananas;281  ;23.04.2019;Portland
Bread;809  ;20.10.2019;Portland
Bananas;916  ;08.12.2019;Toronto
Brocolli;705  ;17.01.2019;New York City
Bananas;710  ;14.10.2019;New York City
Strawberries;486  ;16.03.2019;Atlanta
Brocolli;791  ;02.01.2019;Atlanta
Strawberries;784  ;02.04.2019;Portland
Oranges;148  ;10.08.2019;Atlanta
Strawberries;126  ;18.02.2019;Atlanta
Bread;192  ;07.02.2019;New York City
Apples;574  ;02.03.2019;New York City
Oranges;113  ;23.03.2019;Toronto
Apples;733  ;13.12.2019;Toronto
Bread;587  ;28.09.2019;New York City
Brocolli;867  ;29.03.2019;Atlanta
Bananas;447  ;25.04.2019;Atlanta
Bread;694  ;09.09.2019;New York City
Strawberries;420  ;18.03.2019;Portland
Bananas;695  ;02.12.2019;Toronto
Brocolli;447  ;20.06.2019;Atlanta
Oranges;839  ;06.04.2019;Portland
Brocolli;672  ;06.05.2019;Toronto
Bread;984  ;04.05.2019;Toronto
Strawberries;849  ;24.09.2019;Toronto
Bread;224  ;19.11.2019;Atlanta
Apples;566  ;01.06.2019;Toronto
Apples;127  ;26.02.2019;Atlanta
Oranges;173  ;10.01.2019;Portland
Brocolli;512  ;15.11.2019;New York City
Bread;783  ;23.05.2019;Toronto
Apples;489  ;12.10.2019;Toronto
Bread;904  ;28.10.2019;New York City
Bananas;243  ;12.08.2019;New York City
Strawberries;349  ;23.04.2019;Atlanta
Brocolli;659  ;26.06.2019;Toronto
